Region Model Years 25mmdays_avg 25mmdays_pc
CONUS SRCNNvMSEL20R1 30 -3.149908 0.891327
midwest SRCNNvMSEL20R1 30 -4.512135 0.808795
northcentral SRCNNvMSEL20R1 30 -1.603798 0.864898
northeast SRCNNvMSEL20R1 30 -5.928334 0.650971
northwest SRCNNvMSEL20R1 30 -2.340143 0.802619
southcentral SRCNNvMSEL20R1 30 -2.118692 0.966087
southeast SRCNNvMSEL20R1 30 -6.390479 0.746809
southwest SRCNNvMSEL20R1 30 -1.159975 0.903541
CONUS SRCNNvMSEL20R1 20 -2.855512 0.900040
midwest SRCNNvMSEL20R1 20 -4.123677 0.819679
northcentral SRCNNvMSEL20R1 20 -1.473954 0.871411
northeast SRCNNvMSEL20R1 20 -5.323545 0.662334
northwest SRCNNvMSEL20R1 20 -2.074094 0.811281
southcentral SRCNNvMSEL20R1 20 -1.884497 0.968202
southeast SRCNNvMSEL20R1 20 -5.850203 0.749534
southwest SRCNNvMSEL20R1 20 -1.039365 0.904999
CONUS SRCNNvMSEL20R1 15 -2.780824 0.901908
midwest SRCNNvMSEL20R1 15 -4.008346 0.822747
northcentral SRCNNvMSEL20R1 15 -1.448514 0.871542
northeast SRCNNvMSEL20R1 15 -5.165884 0.662976
northwest SRCNNvMSEL20R1 15 -2.029191 0.797991
southcentral SRCNNvMSEL20R1 15 -1.849870 0.968570
southeast SRCNNvMSEL20R1 15 -5.691713 0.747156
southwest SRCNNvMSEL20R1 15 -0.997410 0.900522
CONUS SRCNNvMSEL20R1 10 -2.626056 0.903735
midwest SRCNNvMSEL20R1 10 -3.802261 0.823390
northcentral SRCNNvMSEL20R1 10 -1.364427 0.874314
northeast SRCNNvMSEL20R1 10 -4.939267 0.669125
northwest SRCNNvMSEL20R1 10 -1.923863 0.802855
southcentral SRCNNvMSEL20R1 10 -1.669873 0.968144
southeast SRCNNvMSEL20R1 10 -5.419934 0.751739
southwest SRCNNvMSEL20R1 10 -0.926921 0.904293
CONUS SRCNNvMSEL20R1 5 -2.938226 0.898940
midwest SRCNNvMSEL20R1 5 -4.229300 0.812889
northcentral SRCNNvMSEL20R1 5 -1.500139 0.869590
northeast SRCNNvMSEL20R1 5 -5.520969 0.659042
northwest SRCNNvMSEL20R1 5 -2.135805 0.810959
southcentral SRCNNvMSEL20R1 5 -1.948090 0.967059
southeast SRCNNvMSEL20R1 5 -6.042151 0.747828
southwest SRCNNvMSEL20R1 5 -1.053105 0.908948
CONUS SRCNNvMSEL20R1 2 -2.854740 0.902166
midwest SRCNNvMSEL20R1 2 -4.057476 0.808681
northcentral SRCNNvMSEL20R1 2 -1.450274 0.871125
northeast SRCNNvMSEL20R1 2 -5.458806 0.665860
northwest SRCNNvMSEL20R1 2 -2.084920 0.816398
southcentral SRCNNvMSEL20R1 2 -1.869675 0.966312
southeast SRCNNvMSEL20R1 2 -5.886101 0.746555
southwest SRCNNvMSEL20R1 2 -1.032990 0.909579
CONUS SRCNNvMSEL21R1 30 -2.071882 0.875293
midwest SRCNNvMSEL21R1 30 -3.221593 0.856566
northcentral SRCNNvMSEL21R1 30 -1.402914 0.885043
northeast SRCNNvMSEL21R1 30 -3.894753 0.683711
northwest SRCNNvMSEL21R1 30 -0.821504 0.951878
southcentral SRCNNvMSEL21R1 30 -1.397651 0.957573
southeast SRCNNvMSEL21R1 30 -4.066901 0.774662
southwest SRCNNvMSEL21R1 30 -0.497397 0.967236
CONUS SRCNNvMSEL21R1 20 -2.276756 0.863955
midwest SRCNNvMSEL21R1 20 -3.592151 0.848026
northcentral SRCNNvMSEL21R1 20 -1.480994 0.883124
northeast SRCNNvMSEL21R1 20 -4.340603 0.626655
northwest SRCNNvMSEL21R1 20 -0.890185 0.949080
southcentral SRCNNvMSEL21R1 20 -1.583422 0.954141
southeast SRCNNvMSEL21R1 20 -4.518856 0.752130
southwest SRCNNvMSEL21R1 20 -0.462184 0.960369
CONUS SRCNNvMSEL21R1 15 -2.418534 0.855697
midwest SRCNNvMSEL21R1 15 -3.805706 0.841563
northcentral SRCNNvMSEL21R1 15 -1.463412 0.880512
northeast SRCNNvMSEL21R1 15 -4.436024 0.615740
northwest SRCNNvMSEL21R1 15 -1.223484 0.941325
southcentral SRCNNvMSEL21R1 15 -1.685153 0.950823
southeast SRCNNvMSEL21R1 15 -4.825907 0.766872
southwest SRCNNvMSEL21R1 15 -0.593854 0.965352
CONUS SRCNNvMSEL21R1 10 -2.591120 0.825243
midwest SRCNNvMSEL21R1 10 -3.893915 0.844880
northcentral SRCNNvMSEL21R1 10 -1.526496 0.874381
northeast SRCNNvMSEL21R1 10 -4.982904 0.585769
northwest SRCNNvMSEL21R1 10 -1.117713 0.935872
southcentral SRCNNvMSEL21R1 10 -1.964829 0.942543
southeast SRCNNvMSEL21R1 10 -5.508005 0.758816
southwest SRCNNvMSEL21R1 10 -0.423352 0.963054
CONUS SRCNNvMSEL21R1 5 -1.977889 0.871863
midwest SRCNNvMSEL21R1 5 -3.038819 0.837099
northcentral SRCNNvMSEL21R1 5 -1.236899 0.888116
northeast SRCNNvMSEL21R1 5 -4.000038 0.622775
northwest SRCNNvMSEL21R1 5 -0.623041 0.932090
southcentral SRCNNvMSEL21R1 5 -1.336111 0.954590
southeast SRCNNvMSEL21R1 5 -4.314228 0.756003
southwest SRCNNvMSEL21R1 5 -0.231797 0.958532
CONUS SRCNNvMSEL21R1 2 -3.203030 0.868773
midwest SRCNNvMSEL21R1 2 -4.459536 0.806952
northcentral SRCNNvMSEL21R1 2 -1.609953 0.869385
northeast SRCNNvMSEL21R1 2 -6.060828 0.591043
northwest SRCNNvMSEL21R1 2 -2.126643 0.903160
southcentral SRCNNvMSEL21R1 2 -2.431388 0.944564
southeast SRCNNvMSEL21R1 2 -6.930519 0.744088
southwest SRCNNvMSEL21R1 2 -0.848089 0.945525
CONUS SRCNNvMSEL23R1 30 -2.234770 0.966207
midwest SRCNNvMSEL23R1 30 -3.519155 0.915279
northcentral SRCNNvMSEL23R1 30 -1.596096 0.902192
northeast SRCNNvMSEL23R1 30 -3.674337 0.807624
northwest SRCNNvMSEL23R1 30 -1.050379 0.978069
southcentral SRCNNvMSEL23R1 30 -2.100964 0.976529
southeast SRCNNvMSEL23R1 30 -3.706363 0.859299
southwest SRCNNvMSEL23R1 30 -0.550844 0.979919
CONUS SRCNNvMSEL23R1 20 -2.430446 0.958042
midwest SRCNNvMSEL23R1 20 -3.892187 0.909578
northcentral SRCNNvMSEL23R1 20 -1.613023 0.895840
