Region Model Years pr_avg pr_pc
CONUS SRCNNvMSEL20R1 30 -0.309718 0.842307
midwest SRCNNvMSEL20R1 30 -0.309115 0.933988
northcentral SRCNNvMSEL20R1 30 -0.180635 0.770079
northeast SRCNNvMSEL20R1 30 -0.633429 0.563489
northwest SRCNNvMSEL20R1 30 -0.219631 0.855115
southcentral SRCNNvMSEL20R1 30 -0.133399 0.971327
southeast SRCNNvMSEL20R1 30 -0.792997 0.512568
southwest SRCNNvMSEL20R1 30 -0.139220 0.880775
CONUS SRCNNvMSEL20R1 20 -0.172950 0.841956
midwest SRCNNvMSEL20R1 20 -0.144334 0.938379
northcentral SRCNNvMSEL20R1 20 -0.062090 0.777265
northeast SRCNNvMSEL20R1 20 -0.442088 0.570367
northwest SRCNNvMSEL20R1 20 -0.063627 0.861203
southcentral SRCNNvMSEL20R1 20 -0.022786 0.971495
southeast SRCNNvMSEL20R1 20 -0.616132 0.522166
southwest SRCNNvMSEL20R1 20 -0.058448 0.884108
CONUS SRCNNvMSEL20R1 15 -0.129286 0.839076
midwest SRCNNvMSEL20R1 15 -0.099510 0.941097
northcentral SRCNNvMSEL20R1 15 -0.019288 0.771120
northeast SRCNNvMSEL20R1 15 -0.387205 0.552064
northwest SRCNNvMSEL20R1 15 -0.010536 0.852258
southcentral SRCNNvMSEL20R1 15 0.013609 0.971347
southeast SRCNNvMSEL20R1 15 -0.566964 0.521534
southwest SRCNNvMSEL20R1 15 -0.025140 0.881821
CONUS SRCNNvMSEL20R1 10 -0.262646 0.843219
midwest SRCNNvMSEL20R1 10 -0.242597 0.923722
northcentral SRCNNvMSEL20R1 10 -0.170165 0.770367
northeast SRCNNvMSEL20R1 10 -0.542052 0.585586
northwest SRCNNvMSEL20R1 10 -0.165304 0.860342
southcentral SRCNNvMSEL20R1 10 -0.096165 0.971745
southeast SRCNNvMSEL20R1 10 -0.695188 0.516070
southwest SRCNNvMSEL20R1 10 -0.121391 0.885163
CONUS SRCNNvMSEL20R1 5 -0.237504 0.840638
midwest SRCNNvMSEL20R1 5 -0.219538 0.933225
northcentral SRCNNvMSEL20R1 5 -0.124694 0.777232
northeast SRCNNvMSEL20R1 5 -0.527263 0.578682
northwest SRCNNvMSEL20R1 5 -0.133513 0.861836
southcentral SRCNNvMSEL20R1 5 -0.075808 0.971980
southeast SRCNNvMSEL20R1 5 -0.691941 0.529773
southwest SRCNNvMSEL20R1 5 -0.100118 0.889591
CONUS SRCNNvMSEL20R1 2 -0.264159 0.837233
midwest SRCNNvMSEL20R1 2 -0.241646 0.923235
northcentral SRCNNvMSEL20R1 2 -0.159891 0.758359
northeast SRCNNvMSEL20R1 2 -0.558627 0.587635
northwest SRCNNvMSEL20R1 2 -0.160964 0.865230
southcentral SRCNNvMSEL20R1 2 -0.102691 0.971579
southeast SRCNNvMSEL20R1 2 -0.712054 0.519677
southwest SRCNNvMSEL20R1 2 -0.119944 0.881118
CONUS SRCNNvMSEL21R1 30 -0.167280 0.878829
midwest SRCNNvMSEL21R1 30 -0.012240 0.923852
northcentral SRCNNvMSEL21R1 30 -0.264437 0.873525
northeast SRCNNvMSEL21R1 30 -0.225721 0.638610
northwest SRCNNvMSEL21R1 30 -0.172799 0.962333
southcentral SRCNNvMSEL21R1 30 -0.030329 0.967289
southeast SRCNNvMSEL21R1 30 -0.303704 0.598655
southwest SRCNNvMSEL21R1 30 -0.172178 0.963021
CONUS SRCNNvMSEL21R1 20 -0.224643 0.879789
midwest SRCNNvMSEL21R1 20 -0.126411 0.919582
northcentral SRCNNvMSEL21R1 20 -0.301685 0.905351
northeast SRCNNvMSEL21R1 20 -0.343731 0.587022
northwest SRCNNvMSEL21R1 20 -0.158844 0.966751
southcentral SRCNNvMSEL21R1 20 -0.082757 0.966332
southeast SRCNNvMSEL21R1 20 -0.430665 0.559143
southwest SRCNNvMSEL21R1 20 -0.151219 0.964028
CONUS SRCNNvMSEL21R1 15 -0.255722 0.880831
midwest SRCNNvMSEL21R1 15 -0.235704 0.920198
northcentral SRCNNvMSEL21R1 15 -0.274149 0.923875
northeast SRCNNvMSEL21R1 15 -0.401148 0.644653
