Region Model Years p95_avg p95_pc
CONUS SRCNNvMSEL20R1 30 -2.062859 0.929912
midwest SRCNNvMSEL20R1 30 -2.414297 0.864339
northcentral SRCNNvMSEL20R1 30 -1.161380 0.761407
northeast SRCNNvMSEL20R1 30 -4.400618 0.622931
northwest SRCNNvMSEL20R1 30 -2.194752 0.855349
southcentral SRCNNvMSEL20R1 30 -0.480738 0.953801
southeast SRCNNvMSEL20R1 30 -4.803406 0.666897
southwest SRCNNvMSEL20R1 30 -0.849685 0.886973
CONUS SRCNNvMSEL20R1 20 -1.528359 0.931643
midwest SRCNNvMSEL20R1 20 -1.741006 0.865886
northcentral SRCNNvMSEL20R1 20 -0.760675 0.763884
northeast SRCNNvMSEL20R1 20 -3.625404 0.619184
northwest SRCNNvMSEL20R1 20 -1.657096 0.861622
southcentral SRCNNvMSEL20R1 20 -0.026166 0.953558
southeast SRCNNvMSEL20R1 20 -4.073922 0.668187
southwest SRCNNvMSEL20R1 20 -0.496450 0.888391
CONUS SRCNNvMSEL20R1 15 -1.478368 0.931034
midwest SRCNNvMSEL20R1 15 -1.679501 0.869684
northcentral SRCNNvMSEL20R1 15 -0.728614 0.761764
northeast SRCNNvMSEL20R1 15 -3.531502 0.606312
northwest SRCNNvMSEL20R1 15 -1.592696 0.852778
southcentral SRCNNvMSEL20R1 15 -0.015959 0.954682
southeast SRCNNvMSEL20R1 15 -4.033155 0.661610
southwest SRCNNvMSEL20R1 15 -0.421448 0.888082
CONUS SRCNNvMSEL20R1 10 -1.548124 0.932501
midwest SRCNNvMSEL20R1 10 -1.706020 0.859026
northcentral SRCNNvMSEL20R1 10 -0.858179 0.765506
northeast SRCNNvMSEL20R1 10 -3.533755 0.618246
northwest SRCNNvMSEL20R1 10 -1.701841 0.857269
southcentral SRCNNvMSEL20R1 10 -0.058188 0.954640
southeast SRCNNvMSEL20R1 10 -3.935119 0.666162
southwest SRCNNvMSEL20R1 10 -0.629922 0.893440
CONUS SRCNNvMSEL20R1 5 -1.697747 0.931411
midwest SRCNNvMSEL20R1 5 -1.932108 0.859087
northcentral SRCNNvMSEL20R1 5 -0.865961 0.765281
northeast SRCNNvMSEL20R1 5 -3.913324 0.621238
northwest SRCNNvMSEL20R1 5 -1.828997 0.861236
southcentral SRCNNvMSEL20R1 5 -0.156626 0.953026
