Region Model Years wetdays_avg wetdays_pc
CONUS SRCNNvMSEL20R1 30 14.530177 0.922525
midwest SRCNNvMSEL20R1 30 18.722210 0.943848
northcentral SRCNNvMSEL20R1 30 10.818949 0.822449
northeast SRCNNvMSEL20R1 30 13.682618 0.881349
northwest SRCNNvMSEL20R1 30 17.985741 0.887476
southcentral SRCNNvMSEL20R1 30 17.308098 0.891501
southeast SRCNNvMSEL20R1 30 18.600500 0.702943
southwest SRCNNvMSEL20R1 30 8.061955 0.885852
CONUS SRCNNvMSEL20R1 20 22.185760 0.919913
midwest SRCNNvMSEL20R1 20 26.733822 0.946300
northcentral SRCNNvMSEL20R1 20 19.141245 0.820814
northeast SRCNNvMSEL20R1 20 22.285175 0.881792
northwest SRCNNvMSEL20R1 20 26.313585 0.885547
southcentral SRCNNvMSEL20R1 20 24.344629 0.889978
southeast SRCNNvMSEL20R1 20 26.860882 0.685288
southwest SRCNNvMSEL20R1 20 13.390146 0.890277
CONUS SRCNNvMSEL20R1 15 25.749817 0.916607
midwest SRCNNvMSEL20R1 15 29.860294 0.944722
northcentral SRCNNvMSEL20R1 15 23.260620 0.805733
northeast SRCNNvMSEL20R1 15 25.444801 0.871203
northwest SRCNNvMSEL20R1 15 30.355982 0.873078
southcentral SRCNNvMSEL20R1 15 28.008234 0.884293
southeast SRCNNvMSEL20R1 15 30.365541 0.675108
southwest SRCNNvMSEL20R1 15 16.478083 0.879587
CONUS SRCNNvMSEL20R1 10 11.093258 0.924691
midwest SRCNNvMSEL20R1 10 14.685853 0.934125
northcentral SRCNNvMSEL20R1 10 6.636572 0.814653
northeast SRCNNvMSEL20R1 10 9.675844 0.886397
northwest SRCNNvMSEL20R1 10 14.409963 0.887690
southcentral SRCNNvMSEL20R1 10 14.630919 0.894904
southeast SRCNNvMSEL20R1 10 15.134443 0.700345
southwest SRCNNvMSEL20R1 10 6.156749 0.883118
CONUS SRCNNvMSEL20R1 5 17.191875 0.924324
midwest SRCNNvMSEL20R1 5 21.442797 0.947267
northcentral SRCNNvMSEL20R1 5 13.554907 0.825626
northeast SRCNNvMSEL20R1 5 16.796604 0.884540
northwest SRCNNvMSEL20R1 5 21.246672 0.891010
southcentral SRCNNvMSEL20R1 5 19.649227 0.894376
southeast SRCNNvMSEL20R1 5 21.492058 0.704882
southwest SRCNNvMSEL20R1 5 10.014882 0.891603
CONUS SRCNNvMSEL20R1 2 12.652992 0.923128
midwest SRCNNvMSEL20R1 2 16.474915 0.938222
northcentral SRCNNvMSEL20R1 2 8.597790 0.794394
northeast SRCNNvMSEL20R1 2 12.126637 0.884022
northwest SRCNNvMSEL20R1 2 16.121441 0.885446
southcentral SRCNNvMSEL20R1 2 15.583966 0.891701
southeast SRCNNvMSEL20R1 2 16.608364 0.707285
southwest SRCNNvMSEL20R1 2 6.836660 0.872079
CONUS SRCNNvMSEL21R1 30 12.144761 0.915172
midwest SRCNNvMSEL21R1 30 27.558588 0.901334
northcentral SRCNNvMSEL21R1 30 -2.666096 0.794159
northeast SRCNNvMSEL21R1 30 22.997826 0.689942
northwest SRCNNvMSEL21R1 30 0.629528 0.910908
southcentral SRCNNvMSEL21R1 30 17.203770 0.850681
southeast SRCNNvMSEL21R1 30 33.185444 0.499216
southwest SRCNNvMSEL21R1 30 -4.035111 0.919436
CONUS SRCNNvMSEL21R1 20 9.390290 0.938085
midwest SRCNNvMSEL21R1 20 20.393429 0.884596
northcentral SRCNNvMSEL21R1 20 -4.261234 0.856950
northeast SRCNNvMSEL21R1 20 18.016047 0.786701
northwest SRCNNvMSEL21R1 20 2.821862 0.937226
southcentral SRCNNvMSEL21R1 20 14.010323 0.872297
southeast SRCNNvMSEL21R1 20 27.909819 0.612877
southwest SRCNNvMSEL21R1 20 -2.869194 0.919469
CONUS SRCNNvMSEL21R1 15 9.282072 0.944011
midwest SRCNNvMSEL21R1 15 16.413330 0.886252
northcentral SRCNNvMSEL21R1 15 -1.709372 0.912941
northeast SRCNNvMSEL21R1 15 14.723297 0.806319
northwest SRCNNvMSEL21R1 15 6.823357 0.944157
southcentral SRCNNvMSEL21R1 15 13.371480 0.890782
southeast SRCNNvMSEL21R1 15 23.875719 0.649017
southwest SRCNNvMSEL21R1 15 0.448025 0.939954
CONUS SRCNNvMSEL21R1 10 32.258831 0.931688
midwest SRCNNvMSEL21R1 10 45.766403 0.895151
northcentral SRCNNvMSEL21R1 10 22.552877 0.847131
northeast SRCNNvMSEL21R1 10 43.008511 0.798641
northwest SRCNNvMSEL21R1 10 26.944588 0.890074
southcentral SRCNNvMSEL21R1 10 35.009594 0.833413
southeast SRCNNvMSEL21R1 10 49.968151 0.587461
southwest SRCNNvMSEL21R1 10 11.533549 0.815785
CONUS SRCNNvMSEL21R1 5 15.625565 0.940601
midwest SRCNNvMSEL21R1 5 25.542536 0.904765
northcentral SRCNNvMSEL21R1 5 3.669027 0.894082
northeast SRCNNvMSEL21R1 5 21.885193 0.790483
northwest SRCNNvMSEL21R1 5 13.297135 0.946096
southcentral SRCNNvMSEL21R1 5 19.662184 0.874947
southeast SRCNNvMSEL21R1 5 31.410679 0.562502
southwest SRCNNvMSEL21R1 5 3.741828 0.934747
CONUS SRCNNvMSEL21R1 2 6.473724 0.935508
midwest SRCNNvMSEL21R1 2 18.993950 0.872135
northcentral SRCNNvMSEL21R1 2 -6.200237 0.820360
northeast SRCNNvMSEL21R1 2 14.223221 0.807476
northwest SRCNNvMSEL21R1 2 -0.172304 0.938310
southcentral SRCNNvMSEL21R1 2 11.283978 0.847737
southeast SRCNNvMSEL21R1 2 20.010054 0.525495
southwest SRCNNvMSEL21R1 2 -4.388889 0.908415
CONUS SRCNNvMSEL23R1 30 21.875551 0.963839
midwest SRCNNvMSEL23R1 30 31.377365 0.936463
northcentral SRCNNvMSEL23R1 30 14.336768 0.938500
northeast SRCNNvMSEL23R1 30 35.773746 0.746093
northwest SRCNNvMSEL23R1 30 15.545493 0.947916
southcentral SRCNNvMSEL23R1 30 19.480555 0.929598
southeast SRCNNvMSEL23R1 30 39.193871 0.778904
southwest SRCNNvMSEL23R1 30 6.217320 0.962487
CONUS SRCNNvMSEL23R1 20 20.028036 0.965152
midwest SRCNNvMSEL23R1 20 32.674866 0.928468
northcentral SRCNNvMSEL23R1 20 10.801490 0.906325
northeast SRCNNvMSEL23R1 20 34.162830 0.856862
northwest SRCNNvMSEL23R1 20 14.227022 0.945364
southcentral SRCNNvMSEL23R1 20 17.221783 0.920923
southeast SRCNNvMSEL23R1 20 36.061478 0.813432
southwest SRCNNvMSEL23R1 20 4.634324 0.920633
CONUS SRCNNvMSEL23R1 15 24.961185 0.963106
midwest SRCNNvMSEL23R1 15 30.369326 0.888837
northcentral SRCNNvMSEL23R1 15 22.413424 0.873784
northeast SRCNNvMSEL23R1 15 33.379814 0.718833
northwest SRCNNvMSEL23R1 15 22.168892 0.892010
southcentral SRCNNvMSEL23R1 15 22.421944 0.939132
southeast SRCNNvMSEL23R1 15 38.026501 0.818008
southwest SRCNNvMSEL23R1 15 11.181524 0.920340
CONUS SRCNNvMSEL23R1 10 10.084268 0.947451
midwest SRCNNvMSEL23R1 10 22.706392 0.938875
northcentral SRCNNvMSEL23R1 10 -4.520529 0.878051
northeast SRCNNvMSEL23R1 10 27.775654 0.814364
northwest SRCNNvMSEL23R1 10 2.102443 0.933992
southcentral SRCNNvMSEL23R1 10 8.166572 0.906870
southeast SRCNNvMSEL23R1 10 31.201782 0.824442
southwest SRCNNvMSEL23R1 10 -3.020152 0.938113
CONUS SRCNNvMSEL23R1 5 33.180656 0.962171
midwest SRCNNvMSEL23R1 5 43.533348 0.906280
northcentral SRCNNvMSEL23R1 5 30.130335 0.903053
northeast SRCNNvMSEL23R1 5 44.007233 0.832931
northwest SRCNNvMSEL23R1 5 31.947620 0.929542
southcentral SRCNNvMSEL23R1 5 27.606119 0.931226
southeast SRCNNvMSEL23R1 5 44.432098 0.826833
southwest SRCNNvMSEL23R1 5 16.811213 0.886481
CONUS SRCNNvMSEL23R1 2 23.285809 0.964607
midwest SRCNNvMSEL23R1 2 32.747036 0.915769
northcentral SRCNNvMSEL23R1 2 19.687420 0.893867
northeast SRCNNvMSEL23R1 2 35.061401 0.829205
northwest SRCNNvMSEL23R1 2 19.274664 0.934445
southcentral SRCNNvMSEL23R1 2 19.350204 0.930235
southeast SRCNNvMSEL23R1 2 35.208912 0.844516
southwest SRCNNvMSEL23R1 2 7.547632 0.939612
CONUS SRCNNvEXPL26R1 30 28.961550 0.975412
midwest SRCNNvEXPL26R1 30 37.483498 0.943238
northcentral SRCNNvEXPL26R1 30 26.670820 0.930770
northeast SRCNNvEXPL26R1 30 39.445431 0.878705
northwest SRCNNvEXPL26R1 30 26.091955 0.947443
southcentral SRCNNvEXPL26R1 30 24.487316 0.949735
southeast SRCNNvEXPL26R1 30 39.474922 0.849347
southwest SRCNNvEXPL26R1 30 14.052863 0.970644
CONUS SRCNNvEXPL26R1 20 18.420042 0.978158
midwest SRCNNvEXPL26R1 20 29.003540 0.919612
northcentral SRCNNvEXPL26R1 20 11.610183 0.953206
northeast SRCNNvEXPL26R1 20 29.186491 0.874700
northwest SRCNNvEXPL26R1 20 16.344925 0.951817
southcentral SRCNNvEXPL26R1 20 13.333255 0.950158
southeast SRCNNvEXPL26R1 20 29.104519 0.826269
southwest SRCNNvEXPL26R1 20 8.165752 0.967040
CONUS SRCNNvEXPL26R1 15 27.178549 0.967553
midwest SRCNNvEXPL26R1 15 39.206345 0.910452
northcentral SRCNNvEXPL26R1 15 20.226488 0.908109
northeast SRCNNvEXPL26R1 15 40.333103 0.782378
northwest SRCNNvEXPL26R1 15 23.153244 0.945377
southcentral SRCNNvEXPL26R1 15 23.119360 0.923719
southeast SRCNNvEXPL26R1 15 42.524483 0.822378
southwest SRCNNvEXPL26R1 15 10.258615 0.951515
CONUS SRCNNvEXPL26R1 10 5.911227 0.952320
midwest SRCNNvEXPL26R1 10 15.581899 0.914227
northcentral SRCNNvEXPL26R1 10 -6.952321 0.878516
northeast SRCNNvEXPL26R1 10 18.975214 0.815883
northwest SRCNNvEXPL26R1 10 -0.534183 0.935285
southcentral SRCNNvEXPL26R1 10 4.839473 0.910899
southeast SRCNNvEXPL26R1 10 25.700907 0.822817
southwest SRCNNvEXPL26R1 10 -4.325702 0.925883
CONUS SRCNNvEXPL26R1 5 11.098398 0.971236
midwest SRCNNvEXPL26R1 5 20.579365 0.911006
northcentral SRCNNvEXPL26R1 5 2.196611 0.950431
northeast SRCNNvEXPL26R1 5 22.084984 0.815125
northwest SRCNNvEXPL26R1 5 6.082287 0.949391
southcentral SRCNNvEXPL26R1 5 8.196823 0.943180
southeast SRCNNvEXPL26R1 5 25.442808 0.832614
southwest SRCNNvEXPL26R1 5 1.732368 0.963826
CONUS SRCNNvEXPL26R1 2 19.059725 0.963692
